name,lat,lon
South Station,42.3523,-71.0552
Back Bay,42.3473,-71.075
Newtonville,42.3517,-71.2083
Wellesley Hills,42.3122,-71.2767
Natick Center,42.2856,-71.3476
Framingham,42.2765,-71.4162
Westborough,42.2695,-71.6159
Worcester,42.2626,-71.8023
