name,lat,lon
South Station,42.3523,-71.0552
Quincy Center,42.2519,-71.0056
East Weymouth,42.2191,-70.9499
Nantasket Junction,42.2185,-70.8845
Cohasset,42.2387,-70.8185
Greenbush,42.2442,-70.8011
