name,lat,lon
North Station,42.3656,-71.0616
Salem,42.5195,-70.8967
Beverly,42.5532,-70.881
Ipswich,42.6792,-70.8411
Newburyport,42.8126,-70.8773
Rockport,42.6557,-70.6208
