name,lat,lon
South Station,42.3523,-71.0552
Readville,42.2382,-71.1302
Norwood Depot,42.1902,-71.1998
Walpole,42.1416,-71.2497
Norfolk,42.1199,-71.3256
Franklin,42.089,-71.4065
