name,lat,lon
South Station,42.3523,-71.0552
Back Bay,42.3473,-71.075
Dedham Corp Center,42.2326,-71.176
Norwood Central,42.1885,-71.2006
Norfolk,42.1199,-71.3256
Foxboro,42.0654,-71.2479
