name,lat,lon
North Station,42.3656,-71.0616
Porter,42.3884,-71.1191
Waltham,42.3751,-71.2356
Concord,42.4604,-71.3489
South Acton,42.4584,-71.4322
Littleton,42.5387,-71.5112
Ayer,42.561,-71.5903
Fitchburg,42.5839,-71.8033
