name,lat,lon
South Station,42.3523,-71.0552
Back Bay,42.3473,-71.075
Mansfield,42.0337,-71.2189
Attleboro,41.9445,-71.2856
Providence,41.8296,-71.4132
Wickford Junction,41.5377,-71.4832
