name,lat,lon
South Station,42.3523,-71.0552
Canton Junction,42.1585,-71.1443
Stoughton,42.1254,-71.1021
East Taunton,41.9024,-71.0396
Freetown,41.798,-71.0719
Fall River Depot,41.7015,-71.1544
Church Street,41.6983,-71.1252
New Bedford,41.6362,-70.9342
