name,lat,lon
North Station,42.3656,-71.0616
Malden Center,42.4267,-71.0741
Reading,42.5256,-71.1061
North Wilmington,42.5672,-71.1425
Andover,42.6584,-71.137
Haverhill,42.7749,-71.0875
