name,lat,lon
Fitchburg,42.58334,-71.80229
Wachusett,42.70042,-71.90152
Worcester,42.26163,-71.79698
Framingham,42.27926,-71.41617
Lowell,42.63549,-71.31617
Haverhill,42.77493,-71.08868
Andover,42.65847,-71.14063
Gloucester,42.61159,-70.66228
Beverly,42.55335,-70.87785
Newburyport,42.81292,-70.87719
Greenbush,42.14077,-70.70977
Kingston,41.99615,-70.70924
Middleborough/Lakeville,41.86776,-70.91016
Attleboro,41.94406,-71.28527
Providence,41.82941,-71.41408
